CVE_ID,CWE,CWE_Name,CWE_Description,Base Score,Base Severity,Vector String,Attack Vector,Attack Complexity,Privileges Required,User Interaction,Scope,Confidentiality Impact,Integrity Impact,Availability Impact,Exploitability Score,Impact Score,label
CVE-2024-39844,N/A,[],[],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
CVE-2017-9873,CWE-119,['Improper Restriction of Operations within the Bounds of a Memory Buffer'],"[""The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data.""]",7.8,HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,1
CVE-2021-27760,NVD-CWE-noinfo,[],[],5.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:L,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,LOW,LOW,LOW,2.1,3.4,1
CVE-2016-4702,CWE-119,['Improper Restriction of Operations within the Bounds of a Memory Buffer'],"[""The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data.""]",9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,1
CVE-2024-2717,N/A,[],[],6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,0
CVE-2019-19334,CWE-787,['Out-of-bounds Write'],"['The product writes data past the end, or before the beginning, of the intended buffer.']",9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,1
CVE-2024-40318,CWE-434,['Unrestricted Upload of File with Dangerous Type'],['The product allows the upload or transfer of dangerous file types that are automatically processed within its environment.'],7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,1.2,5.9,1
CVE-2019-0377,CWE-79,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""]",['The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.'],5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,0
CVE-2023-20258,NVD-CWE-noinfo,[],[],7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,1.2,5.9,1
CVE-2022-27226,CWE-352,['Cross-Site Request Forgery (CSRF)'],"['The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request.']",8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2.8,5.9,1
CVE-2024-47452,CWE-787,['Out-of-bounds Write'],"['The product writes data past the end, or before the beginning, of the intended buffer.']",7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,1
CVE-2017-1724,CWE-79,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""]",['The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.'],6.1,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,0
CVE-2016-1861,CWE-119,['Improper Restriction of Operations within the Bounds of a Memory Buffer'],"[""The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data.""]",7.8,HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,1
CVE-2018-19136,CWE-79,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""]",['The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.'],6.1,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,0
CVE-2020-25092,CWE-79,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""]",['The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.'],6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,0
CVE-2020-27955,CWE-427,['Uncontrolled Search Path Element'],"['The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors.']",9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,1
CVE-2023-6994,CWE-79,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""]",['The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.'],5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,0
CVE-2023-1704,CWE-79,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""]",['The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.'],5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,0
CVE-2021-42048,CWE-79,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""]",['The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.'],4.8,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE,1.7,2.7,0
CVE-2021-46708,CWE-1021,['Improper Restriction of Rendered UI Layers or Frames'],"['The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.']",6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,0
